,City,Country,Lat,Lon,Temp,Cloudiness(%),Windspeed,Humidity,Max Temp,Date
290,Bambous Virieux,MU,-20.34,57.76,77.47,75,14.99,74,78.8,1586917878
291,Québec,CA,46.81,-71.21,35.49,75,6.93,55,37.99,1586917879
292,Port Blair,IN,11.67,92.75,83.59,95,6.42,72,83.59,1586917879
293,Shīeli,KZ,44.17,66.75,49.42,0,8.88,42,49.42,1586917879
294,Kununurra,AU,-15.77,128.73,93.2,13,6.93,30,93.2,1586917879
295,Ribeira Grande,PT,38.52,-28.7,50.0,40,11.41,76,50.0,1586917879
296,Dongsheng,CN,39.82,109.98,52.39,100,14.09,22,52.39,1586917880
297,Port-Cartier,CA,50.03,-66.87,33.91,20,16.11,47,34.0,1586917880
298,Fare,PF,-16.7,-151.02,84.04,27,2.89,63,84.04,1586917880
299,Kichera,RU,55.94,110.1,44.8,0,2.06,43,44.8,1586917880
300,Sola,VU,-13.88,167.55,82.51,100,15.28,78,82.51,1586917365
301,Castro,BR,-24.79,-50.01,52.66,0,2.93,65,52.66,1586917880
302,Vao,NC,-22.67,167.48,74.66,90,13.49,74,74.66,1586917880
303,Acapulco de Juárez,MX,16.86,-99.89,77.0,5,9.17,88,77.0,1586917747
304,Stralsund,DE,54.31,13.08,42.96,75,16.11,70,43.0,1586917881
305,Ohangaron,UZ,40.91,69.64,51.8,100,4.7,66,51.8,1586917881
306,Polunochnoye,RU,60.87,60.42,36.27,100,4.21,93,36.27,1586917881
307,Am Timan,TD,11.03,20.28,78.98,55,7.09,14,78.98,1586917881
308,Kirakira,SB,-10.45,161.92,86.58,82,9.17,68,86.58,1586917881
309,Coos Bay,US,43.37,-124.22,51.96,1,18.34,81,55.0,1586917593
310,Tayoltita,MX,24.08,-105.93,62.89,65,2.28,21,62.89,1586917882
311,Ilovlya,RU,49.3,43.98,44.29,98,13.42,70,44.6,1586917882
312,Diplo,PK,24.47,69.58,82.99,92,15.12,56,82.99,1586917882
313,Mitú,CO,1.2,-70.17,75.96,99,2.26,73,75.96,1586917862
314,Daru,PG,-9.08,143.21,84.56,88,10.78,75,84.56,1586917291
315,George Town,MY,5.41,100.34,86.77,20,2.91,74,87.8,1586917882
316,Esim,GH,4.87,-2.24,81.27,84,6.13,83,81.27,1586917883
317,Monsenhor Gil,BR,-5.56,-42.61,77.0,40,4.7,88,77.0,1586917883
318,Ville-Marie,CA,47.33,-79.43,30.2,90,5.82,68,30.2,1586917883
319,San Patricio,MX,19.22,-104.7,77.0,40,4.79,73,77.0,1586917362
320,Spring Valley,US,36.11,-115.25,63.25,1,9.17,9,66.99,1586917883
321,Tuatapere,NZ,-46.13,167.68,46.99,100,4.0,95,46.99,1586917549
322,Pierre,US,44.37,-100.35,24.8,40,5.82,73,24.8,1586917201
323,Singleton,AU,-32.57,151.18,80.87,29,6.93,50,84.0,1586917884
324,Narganá,PA,9.44,-78.59,79.9,42,4.83,78,79.9,1586917884
325,Ixtapa,MX,20.7,-105.2,71.6,5,4.7,73,71.6,1586917884
326,Mugan,CN,35.94,101.38,60.1,0,3.94,11,60.1,1586917884
327,Kokoda,PG,-8.88,147.74,88.59,88,2.53,47,88.59,1586917884
328,Touros,BR,-5.2,-35.46,80.6,79,2.24,88,80.6,1586917884
329,Bethanien,NA,-26.5,17.16,49.08,70,1.14,32,49.08,1586917885
330,Nouakchott,MR,18.09,-15.98,68.0,56,13.87,77,68.0,1586917687
331,Barrafranca,IT,37.38,14.2,54.25,12,2.24,71,57.2,1586917885
332,Codrington,AU,-38.27,141.97,71.8,100,17.52,37,71.8,1586917885
333,Talara,PE,-4.58,-81.27,74.98,1,2.93,74,74.98,1586917510
334,Goundam,ML,16.41,-3.67,78.21,100,17.67,48,78.21,1586917885
335,Gizo Government Station,SB,-8.1,156.84,84.36,88,8.88,77,84.36,1586917352
336,Nur-Sultan,KZ,51.18,71.45,39.2,75,13.42,80,39.2,1586917886
337,Colares,PT,38.8,-9.45,53.76,20,8.05,93,55.99,1586917886
338,Malko Tarnovo,BG,41.98,27.53,41.18,75,11.41,93,42.8,1586917886
339,Oranjemund,NA,-28.55,16.43,55.08,33,10.02,89,55.08,1586917352
340,Jiaxing,CN,30.75,120.75,68.77,23,11.18,43,69.8,1586917886
341,Araouane,ML,18.9,-3.53,79.74,100,8.84,42,79.74,1586917887
342,Constitución,CL,-35.33,-72.42,52.72,11,6.73,69,52.72,1586917498
343,Severo-Kuril'sk,RU,50.68,156.12,31.86,100,13.98,94,31.86,1586917887
344,Nicoya,CR,10.15,-85.45,73.0,22,20.0,85,73.0,1586917801
345,Tallahassee,US,30.44,-84.28,71.74,75,4.7,88,73.4,1586917860
346,Temir,KZ,49.14,57.13,41.83,40,9.98,58,41.83,1586917887
347,Bilma,NE,18.69,12.92,77.77,0,6.17,15,77.77,1586917887
348,Alta Floresta,BR,-9.88,-56.09,71.4,100,2.91,90,71.4,1586917888
349,Vanavara,RU,60.34,102.28,46.87,0,2.73,65,46.87,1586917888
350,Miramar,US,25.99,-80.23,79.99,1,6.93,78,81.0,1586917888
351,Tilichiki,RU,60.47,166.1,23.76,100,7.83,96,23.76,1586917888
352,Canmore,CA,51.08,-115.35,34.57,90,5.82,51,36.0,1586917888
353,Bam,IR,29.11,58.36,64.24,7,8.14,30,64.24,1586917407
354,Guerrero Negro,MX,27.98,-114.06,62.51,82,17.69,77,62.51,1586917888
355,Kalmunai,LK,7.42,81.82,84.97,66,1.88,68,84.97,1586917889
356,Zhob,PK,31.34,69.45,63.82,0,10.42,27,63.82,1586917889
357,Atar,MR,20.52,-13.05,69.19,0,6.87,25,69.19,1586917889
358,Lagdo,CM,9.05,13.73,81.68,2,2.59,29,81.68,1586917889
359,Ürümqi,CN,43.8,87.6,59.0,75,4.47,62,59.0,1586917749
360,Baghdad,IQ,33.34,44.4,59.0,61,6.93,54,59.0,1586917654
361,Singaparna,ID,-7.35,108.11,85.15,50,3.56,56,85.15,1586917889
362,Kirkuk,IQ,35.47,44.39,58.21,0,6.89,48,58.21,1586917890
363,Coelho Neto,BR,-4.26,-43.01,72.75,100,2.84,96,72.75,1586917890
364,Puerto Maldonado,PE,-12.6,-69.18,67.69,100,5.32,92,67.69,1586917890
365,Orichi,RU,58.4,49.06,38.64,28,10.02,81,38.64,1586917890
366,Coyhaique,CL,-45.58,-72.07,48.2,100,2.24,87,48.2,1586917790
367,Richards Bay,ZA,-28.78,32.04,66.15,100,6.13,90,66.15,1586917891
368,Kyra,RU,49.58,111.98,47.01,100,22.44,34,47.01,1586917891
369,Auki,SB,-8.77,160.7,85.89,84,5.08,69,85.89,1586917891
370,Brazzaville,CG,-4.27,15.28,74.46,89,1.19,83,74.46,1586917892
371,Tutayev,RU,57.89,39.54,33.8,75,2.24,100,33.8,1586917892
372,Izumo,JP,35.37,132.77,66.99,100,16.11,39,68.0,1586917892
373,Melito di Porto Salvo,IT,37.92,15.77,60.19,20,10.29,59,63.0,1586917892
374,Miles City,US,46.41,-105.84,37.4,40,4.59,51,37.4,1586917893
375,Lexington,US,37.99,-84.48,35.29,1,4.7,74,37.99,1586917872
376,Isangel,VU,-19.55,169.27,80.53,100,9.06,76,80.53,1586917893
377,Hay River,CA,60.82,-115.8,33.8,90,5.82,93,33.8,1586917893
378,Adrar,MR,20.5,-10.07,74.66,0,6.82,50,74.66,1586917893
379,Kuril'sk,RU,45.23,147.88,30.83,98,13.94,94,30.83,1586917893
380,Vallentuna,SE,59.53,18.08,39.24,75,11.41,93,41.0,1586917894
381,Elverum,NO,60.88,11.56,32.04,100,2.8,83,36.0,1586917894
382,Willowmore,ZA,-33.29,23.49,48.15,0,1.23,66,48.15,1586917894
383,Oranjestad,AW,12.52,-70.03,80.6,20,17.22,78,80.6,1586917894
384,Novo Aripuanã,BR,-5.12,-60.38,73.06,100,1.95,97,73.06,1586917894
385,Carrickfergus,GB,54.72,-5.81,36.32,22,2.24,86,41.0,1586917894
386,Pingliang,CN,35.54,106.69,69.62,100,3.89,14,69.62,1586917894
387,Zhigansk,RU,66.77,123.37,17.22,18,14.54,91,17.22,1586917895
388,Chimbote,PE,-9.09,-78.58,71.87,6,6.08,80,71.87,1586917609
389,Tabuk,PH,17.42,121.44,84.6,28,5.26,56,84.6,1586917895
390,Sulangan,PH,11.14,123.72,83.97,0,6.33,63,83.97,1586917895
391,Marsá Maţrūḩ,EG,31.35,27.25,55.4,99,5.82,71,55.4,1586917895
392,Dingle,PH,11.0,122.67,87.84,18,8.97,56,87.84,1586917895
393,Peterhead,GB,57.51,-1.8,38.66,46,3.36,80,45.0,1586917895
394,Hambantota,LK,6.12,81.12,82.9,82,5.41,76,82.9,1586917896
395,Mount Gambier,AU,-37.83,140.77,75.2,100,12.75,29,75.2,1586917896
396,Ossora,RU,59.24,163.07,25.05,6,5.21,89,25.05,1586917896
397,Klyuchi,RU,52.27,79.17,45.28,97,14.81,68,45.28,1586917896
398,Fukuechō,JP,32.69,128.84,62.6,75,5.82,55,62.6,1586917896
399,Wundanyi,KE,-3.4,38.36,61.45,100,3.36,74,61.45,1586917896
400,Monrovia,LR,6.3,-10.8,78.8,20,4.61,94,78.8,1586917897
401,Gambiran,ID,-6.8,111.5,83.37,5,4.56,73,83.37,1586917897
402,Mishkino,RU,55.34,63.92,36.63,83,12.48,77,36.63,1586917897
403,Aste,IT,45.79,11.1,43.18,64,4.7,60,46.99,1586917897
404,Geraldton,AU,-28.77,114.6,71.6,77,19.46,53,71.6,1586917866
405,Soligalich,RU,59.08,42.29,36.72,100,3.4,90,36.72,1586917505
406,Thunder Bay,CA,48.4,-89.32,23.52,20,4.7,53,24.8,1586917890
407,Mana,GF,5.66,-53.78,75.63,93,7.02,83,75.63,1586917898
408,Pimentel,PE,-6.84,-79.93,72.72,16,10.36,77,72.72,1586917332
409,Vrangel',RU,42.73,133.08,46.72,0,4.97,53,46.72,1586917898
410,Valparaíso,CL,-33.04,-71.63,50.85,0,4.7,87,51.8,1586917508
411,Hamza,UZ,40.43,71.5,51.8,75,9.17,87,51.8,1586917898
412,La Santisima Trinidad,BO,-14.83,-64.9,66.15,84,3.8,92,66.15,1586917693
413,Chifeng,CN,42.27,118.96,58.23,97,5.37,27,58.23,1586917899
414,Ahipara,NZ,-35.17,173.17,62.31,80,16.08,67,62.31,1586917899
415,Anadyr,RU,64.75,177.48,14.0,40,13.42,85,14.0,1586917899
416,Mayya,RU,61.73,130.28,37.4,20,6.71,59,37.4,1586917899
417,Gillette,US,44.29,-105.5,28.36,90,4.7,92,30.0,1586917900
418,Lindenhurst,US,40.69,-73.37,48.76,90,11.41,57,52.0,1586917633
419,Kubuta,SZ,-26.88,31.48,62.37,100,2.15,80,62.37,1586917900
420,Dakar,SN,14.69,-17.44,68.0,100,14.99,82,68.0,1586917850
421,Ovalle,CL,-30.6,-71.2,54.77,0,0.89,69,54.77,1586917900
422,King City,US,36.21,-121.13,64.13,1,8.05,59,66.99,1586917900
423,Yaan,NG,7.38,8.57,80.87,26,10.42,72,80.87,1586917901
424,Muros,ES,42.78,-9.06,54.61,20,6.93,87,60.01,1586917901
425,Poya,NC,-21.35,165.15,78.33,58,13.82,77,78.33,1586917901
426,Utete,TZ,-7.99,38.76,73.0,64,2.68,97,73.0,1586917901
427,Vestmannaeyjar,IS,63.44,-20.27,40.01,100,19.28,79,40.01,1586917901
428,Olafsvik,IS,64.89,-23.71,37.2,100,26.15,78,37.2,1586917901
429,Ransang,PH,8.96,117.58,83.91,0,3.18,61,83.91,1586917902
430,Tura,IN,25.52,90.22,87.19,8,7.11,42,87.19,1586917324
431,Xushan,CN,30.18,121.25,69.8,20,11.18,40,69.8,1586917902
432,Ust'-Uda,RU,54.17,103.03,50.72,0,2.13,38,50.72,1586917564
433,Marzuq,YE,14.4,46.47,70.5,80,3.6,55,70.5,1586917902
434,Vani,GE,42.08,42.52,57.2,100,14.99,47,57.2,1586917902
435,Olhão,PT,37.03,-7.84,58.55,20,14.99,82,60.8,1586917902
436,Verāval,IN,20.9,70.37,86.54,4,11.32,38,86.54,1586917903
437,Makakilo City,US,21.35,-158.09,77.65,1,4.7,74,78.8,1586917903
438,Verkhnyaya Inta,RU,65.98,60.31,31.44,21,8.32,93,31.44,1586917903
439,Teahupoo,PF,-17.83,-149.27,86.0,7,16.11,74,86.0,1586917903
440,Alyangula,AU,-13.85,136.42,91.4,40,11.41,55,91.4,1586917903
441,Zaporizhia,UA,47.82,35.18,33.17,75,13.42,81,33.8,1586917904
442,Tornio,FI,65.85,24.15,26.6,90,5.82,100,26.6,1586917904
443,San Quintín,MX,30.48,-115.95,61.2,0,13.04,79,61.2,1586917468
444,Tacuarembó,UY,-31.73,-55.98,50.72,0,11.45,61,50.72,1586917904
445,Pritomskiy,RU,53.77,87.61,49.57,26,2.64,63,49.57,1586917904
446,Homer,US,59.64,-151.55,44.56,90,6.93,75,46.0,1586917710
447,Salaga,GH,8.55,-0.52,83.01,24,9.75,66,83.01,1586917905
448,Novosokol'niki,RU,56.35,30.16,31.14,99,7.07,95,31.14,1586917905
449,Hvide Sande,DK,56.0,8.13,43.77,100,16.11,87,45.0,1586917905
450,Lake City,US,30.19,-82.64,72.46,75,10.29,83,75.2,1586917905
451,Alofi,NU,-19.06,-169.92,84.2,75,11.41,70,84.2,1586917451
452,Plainview,US,40.78,-73.47,48.88,90,11.41,57,52.0,1586917752
453,Novomikhaylovskiy,RU,44.26,38.86,53.24,100,8.57,58,53.24,1586917906
454,Najrān,SA,17.49,44.13,69.8,40,3.94,73,69.8,1586917906
455,Sassandra,CI,4.95,-6.08,79.43,99,3.71,86,79.43,1586917906
456,Ekhabi,RU,53.51,142.97,30.99,100,11.41,94,30.99,1586917906
457,Cravinhos,BR,-21.34,-47.73,64.4,100,1.81,100,64.4,1586917906
458,Port Macquarie,AU,-31.43,152.92,78.67,0,9.8,54,79.0,1586917849
459,Chui,UY,-33.7,-53.46,59.65,100,25.93,77,59.65,1586917907
460,Luangwa,ZM,-15.62,30.42,70.2,20,1.63,70,70.2,1586917907
461,Balabac,PH,7.99,117.06,86.18,9,10.6,65,86.18,1586917907
462,Umm Hājar,TD,13.3,19.7,75.99,48,10.83,15,75.99,1586917907
463,Bariloche,AR,-41.15,-71.31,53.35,75,3.36,71,55.99,1586917841
464,Meulaboh,ID,4.14,96.13,85.12,43,2.24,66,85.12,1586917907
465,Rocha,UY,-34.48,-54.33,58.23,100,25.66,89,58.23,1586917908
466,Brae,GB,60.4,-1.35,46.4,99,24.16,87,46.4,1586917908
467,Loikaw,MM,19.67,97.21,90.16,0,3.98,22,90.16,1586917908
468,Kedgwick,CA,47.64,-67.34,29.19,62,6.67,91,29.19,1586917908
469,Vila Velha,BR,-20.33,-40.29,73.71,35,3.36,88,73.99,1586917909
470,Kristinehamn,SE,59.31,14.11,41.38,100,3.36,86,44.01,1586917910
471,Kosum Phisai,TH,16.25,103.07,89.69,99,3.36,62,93.0,1586917910
472,Salalah,OM,17.02,54.09,80.6,20,6.93,74,80.6,1586917342
473,Praia da Vitória,PT,38.73,-27.07,51.8,40,19.53,87,51.8,1586917475
474,Arman',RU,59.7,150.17,29.53,97,2.53,91,29.53,1586917910
475,Innisfail,AU,-17.53,146.03,78.01,75,8.99,68,78.01,1586917910
476,Bambuí,BR,-20.01,-45.98,65.66,100,0.63,75,65.66,1586917910
477,Nouadhibou,MR,20.93,-17.03,62.6,0,11.41,88,62.6,1586917911
478,Acaraú,BR,-2.89,-40.12,75.47,100,3.13,83,75.47,1586917911
479,Carnduff,CA,49.17,-101.8,24.01,72,3.87,61,24.01,1586917911
480,Dera Bugti,PK,29.03,69.15,83.43,1,5.01,20,83.43,1586917911
481,Norman Wells,CA,65.28,-126.83,37.4,20,10.29,59,37.4,1586917912
482,Alice Springs,AU,-23.7,133.88,87.8,0,6.93,15,87.8,1586917912
483,Biltine,TD,14.53,20.92,75.69,58,16.55,14,75.69,1586917525
484,Northam,GB,51.03,-4.22,38.26,8,7.99,100,43.0,1586917912
485,Carácuaro,MX,19.01,-101.13,81.37,97,4.94,19,81.37,1586917912
486,Mahibadhoo,MV,3.78,72.97,85.1,11,4.54,68,85.1,1586917912
487,Berbera,SO,10.44,45.01,82.92,66,6.33,77,82.92,1586917912
488,Malakal,SS,9.53,31.66,77.2,6,5.41,14,77.2,1586917913
489,Boyuibe,BO,-20.42,-63.28,59.07,37,4.25,48,59.07,1586917913
490,Beruwala,LK,6.48,79.98,84.11,37,2.55,71,84.11,1586917913
491,Vestmanna,FO,62.16,-7.17,44.6,96,14.99,100,44.6,1586917913
492,Bundaberg,AU,-24.85,152.35,81.88,40,13.87,51,82.99,1586917913
493,Saint-François,FR,46.42,3.91,32.25,0,3.36,74,33.8,1586917914
494,Mitsamiouli,KM,-11.38,43.28,83.28,73,7.25,73,83.28,1586917914
495,Luganville,VU,-15.53,167.17,84.2,75,10.29,74,84.2,1586917914
496,Măerişte,RO,47.32,22.8,27.88,0,5.82,86,28.4,1586917914
497,Saint Anthony,US,45.02,-93.22,25.11,90,10.29,53,27.0,1586917317
498,Mayo,US,38.89,-76.51,47.57,90,8.05,54,54.0,1586917530
499,Araci,BR,-11.33,-38.97,70.86,63,3.85,84,70.86,1586917915
500,Nchelenge,ZM,-9.35,28.73,70.23,100,1.81,66,70.23,1586917915
501,Tombouctou,ML,20.0,-3.0,81.25,100,14.43,34,81.25,1586917915
502,Portland,US,45.52,-122.68,60.3,20,10.29,45,66.2,1586917874
503,Roald,NO,62.58,6.13,41.77,100,17.22,87,43.0,1586917916
504,Tsiroanomandidy,MG,-18.77,46.03,60.87,0,2.89,70,60.87,1586917916
505,LaBelle,US,26.76,-81.44,80.67,1,5.5,83,82.4,1586917916
506,Port Lincoln,AU,-34.73,135.87,77.36,100,17.72,28,77.36,1586917916
507,Hervey Bay,AU,-25.3,152.85,78.24,40,13.87,51,80.6,1586917377
508,Saýat,TM,38.78,63.88,46.4,25,9.17,35,46.4,1586917916
509,Jizan,SA,17.33,42.67,84.2,40,3.36,74,84.2,1586917917
510,Kirovskiy,RU,45.09,133.51,50.38,0,10.85,43,50.38,1586917917
511,Kyzyl-Suu,KG,42.34,78.0,44.85,100,6.55,41,44.85,1586917917
512,Vista Hermosa,MX,19.52,-99.22,74.28,40,8.05,23,77.0,1586917917
513,Barra de Tecoanapa,MX,16.52,-98.75,77.45,73,5.64,77,77.45,1586917917
514,Aswān,EG,24.09,32.91,64.4,0,10.29,23,64.4,1586917918
515,Bubaque,GW,11.28,-15.83,79.02,95,9.13,65,79.02,1586917918
516,Lábrea,BR,-7.26,-64.8,74.3,93,3.29,95,74.3,1586917918
517,Cairns,AU,-16.92,145.77,84.15,75,20.8,55,87.8,1586917685
518,Margate,GB,51.38,1.39,38.95,98,2.24,68,46.0,1586917918
519,Teguise,ES,29.06,-13.56,60.8,16,2.24,77,60.8,1586917918
520,Zyryanka,RU,65.75,150.85,13.51,27,7.96,90,13.51,1586917918
521,Llano Largo,PA,7.9,-80.43,79.14,1,3.94,79,79.14,1586917919
522,Caravelas,BR,-17.71,-39.25,75.9,8,4.5,87,75.9,1586917919
523,Goderich,CA,43.75,-81.72,33.04,53,13.69,66,36.0,1586917794
524,Aguadilla,PR,18.43,-67.15,76.35,1,4.0,81,78.01,1586917919
525,Witu,KE,-2.39,40.44,79.25,100,7.02,88,79.25,1586917919
526,Tres Arroyos,AR,-38.37,-60.28,49.8,0,3.96,79,49.8,1586917919
527,Port Hawkesbury,CA,45.62,-61.35,39.81,1,5.82,65,45.0,1586917544
528,Bardejov,SK,49.29,21.27,28.62,21,1.12,86,30.99,1586917894
529,Berlevåg,NO,70.86,29.09,35.49,97,12.21,86,35.49,1586917920
530,Zvishavane,ZW,-20.33,30.07,71.22,79,5.14,34,71.22,1586917920
531,Iralaya,HN,15.0,-83.23,78.17,0,10.22,80,78.17,1586917920
532,Santa Cruz das Palmeiras,BR,-21.83,-47.25,59.0,100,3.36,100,59.0,1586917921
533,Slave Lake,CA,55.28,-114.77,39.2,90,9.17,60,39.2,1586917818
534,Distrikt Brokopondo,SR,4.75,-55.17,72.5,72,3.33,82,72.5,1586917921
535,Los Alamos,US,35.89,-106.31,37.89,1,13.87,14,45.0,1586917921
536,Lethem,GY,3.38,-59.8,83.07,93,9.42,45,83.07,1586917921
537,Puerto Peñasco,MX,31.32,-113.53,73.99,0,8.01,48,73.99,1586917921
538,Myre,NO,69.1,15.95,33.8,78,19.46,77,37.4,1586917921
539,Xiongyue,CN,40.18,122.12,64.78,100,11.74,31,64.78,1586917922
540,Yar-Sale,RU,66.83,70.83,32.05,100,9.98,99,32.05,1586917922
541,Batagay-Alyta,RU,67.8,130.41,16.63,68,23.98,79,16.63,1586917922
542,Hualmay,PE,-11.1,-77.61,71.82,2,5.99,76,71.82,1586917922
543,Caucayá,CO,-0.19,-74.78,76.96,26,1.66,66,76.96,1586917922
544,Rāmshīr,IR,30.89,49.41,61.68,6,6.93,41,62.6,1586917923
545,Murovani Kurylivtsi,UA,48.72,27.52,28.99,0,1.01,84,28.99,1586917923
546,Davila,PH,18.47,120.58,84.2,40,5.82,74,84.2,1586917923
547,San Vicente de Cañete,PE,-13.08,-76.38,71.17,99,4.99,76,71.17,1586917923
548,Saurimo,AO,-9.66,20.39,66.31,100,1.25,70,66.31,1586917923
549,Adré,TD,13.47,22.2,68.59,57,15.57,16,68.59,1586917924
550,Tipuani,BO,-15.56,-68.02,69.1,100,0.69,70,69.1,1586917924
551,Ambanja,MG,-13.68,48.45,73.76,26,4.32,79,73.76,1586917924
552,Yumen,CN,40.28,97.2,61.99,16,13.24,26,61.99,1586917373
553,Nelson,NZ,-41.28,173.28,55.99,77,4.0,54,55.99,1586917924
554,Beasain,ES,43.05,-2.2,53.17,75,4.7,81,57.2,1586917925
555,Kuala Lumpur,MY,3.14,101.69,84.67,20,3.36,74,86.0,1586917834
556,Baruun-Urt,MN,46.68,113.28,47.98,95,8.95,35,47.98,1586917925
557,Lakselv,NO,70.05,24.97,32.0,99,25.28,95,32.0,1586917925
558,Maragogi,BR,-9.01,-35.22,78.17,25,3.36,77,78.17,1586917580
559,Wysokie Mazowieckie,PL,52.92,22.52,33.57,51,35.01,67,35.01,1586917925
560,Bontang,ID,0.13,117.5,85.6,54,9.44,62,85.6,1586917925
561,Huinan,CN,42.62,126.26,64.99,94,4.59,25,64.99,1586917926
562,Flin Flon,CA,54.77,-101.86,14.95,71,4.45,93,14.95,1586917380
563,Palimbang,PH,6.21,124.19,84.81,56,5.26,69,84.81,1586917926
564,Buala,SB,-8.14,159.59,86.07,92,6.93,70,86.07,1586917926
565,Yarmouth,US,41.71,-70.23,46.71,90,12.75,61,48.2,1586917777
566,Turukhansk,RU,65.82,87.98,31.84,68,5.17,97,31.84,1586917926
567,Elista,RU,46.31,44.26,46.2,97,11.18,75,46.4,1586917926
568,Pacifica,US,37.61,-122.49,68.52,20,18.34,24,73.99,1586917874
569,Aleksandrov Gay,RU,50.15,48.57,43.95,0,14.94,84,43.95,1586917927
570,Dali,CN,25.7,100.18,72.34,0,5.37,17,72.34,1586917400
571,Pindiga,NG,9.98,10.93,81.39,3,3.2,13,81.39,1586917927
572,Mount Isa,AU,-20.73,139.5,93.2,23,10.29,26,93.2,1586917927
573,Sokolo,ML,14.73,-6.12,80.76,78,15.55,48,80.76,1586917927
574,Praxédis Guerrero,MX,31.37,-106.02,66.52,20,8.01,15,69.8,1586917928
575,Viçosa,BR,-20.75,-42.88,64.15,89,6.02,78,64.15,1586917928
576,Mabaruma,GY,8.2,-59.78,73.18,1,4.43,86,73.18,1586917484
577,Bud,US,39.45,-86.18,36.09,40,3.36,47,39.2,1586917928
578,Kampot,KH,10.62,104.18,84.2,40,9.17,70,84.2,1586917928
